330 3.441905e+02 2.892086e+00 5.637483e-01 5.224378e-03 3.062464e-01 6.217190e-03 3.808977e-03 5.226181e-03 3.100554e-01 1.144337e-02 
340 3.512372e+02 1.534671e+00 5.654383e-01 3.504833e-03 3.071977e-01 3.281673e-03 2.419269e-03 2.716100e-03 3.096170e-01 5.997772e-03 
350 3.583032e+02 7.425392e-01 5.668965e-01 4.604668e-03 3.076694e-01 2.858803e-03 1.720101e-03 1.286788e-03 3.093895e-01 4.145591e-03 
360 3.653871e+02 3.276163e-01 5.683185e-01 5.511901e-03 3.078840e-01 3.415006e-03 1.392267e-03 5.545669e-04 3.092762e-01 3.969572e-03 
370 3.724890e+02 3.425300e-01 5.697777e-01 6.064389e-03 3.079813e-01 3.738168e-03 1.238743e-03 2.200852e-04 3.092200e-01 3.958254e-03 
380 3.796092e+02 6.308484e-01 5.712423e-01 6.086386e-03 3.080419e-01 3.726733e-03 1.150770e-03 1.335086e-04 3.091926e-01 3.860242e-03 
390 3.867472e+02 8.758012e-01 5.725956e-01 5.488274e-03 3.081060e-01 3.344248e-03 1.074486e-03 1.991703e-04 3.091805e-01 3.543419e-03 
400 3.939006e+02 1.598421e+00 5.736916e-01 4.424053e-03 3.081892e-01 2.697703e-03 9.863623e-04 2.662809e-04 3.091755e-01 2.963984e-03 
410 4.010655e+02 2.546899e+00 5.744165e-01 3.912211e-03 3.082933e-01 2.874891e-03 8.792429e-04 3.326279e-04 3.091725e-01 3.207519e-03 
420 4.082366e+02 3.391707e+00 5.746727e-01 5.475763e-03 3.084196e-01 3.873374e-03 7.544861e-04 3.715811e-04 3.091741e-01 4.244955e-03 
430 4.154071e+02 4.329744e+00 5.742515e-01 6.699367e-03 3.085796e-01 4.613246e-03 6.203291e-04 3.898070e-04 3.091999e-01 5.003053e-03 
440 4.225657e+02 8.173610e+00 5.726405e-01 1.094954e-02 3.087994e-01 7.249489e-03 4.870331e-04 3.673845e-04 3.092865e-01 7.616874e-03 
450 4.296917e+02 1.757039e+01 5.687629e-01 2.341386e-02 3.091314e-01 1.542224e-02 3.646122e-04 3.208772e-04 3.094960e-01 1.574312e-02 
460 4.367455e+02 3.529580e+01 5.606289e-01 4.674507e-02 3.096569e-01 3.052884e-02 2.603821e-04 2.663506e-04 3.099173e-01 3.079519e-02 
470 4.436556e+02 6.557010e+01 5.450386e-01 8.627243e-02 3.104777e-01 5.590666e-02 1.777017e-04 2.089616e-04 3.106554e-01 5.611562e-02 
480 4.503025e+02 1.119306e+02 5.175482e-01 1.462722e-01 3.116797e-01 9.415627e-02 1.164386e-04 1.490478e-04 3.117962e-01 9.430532e-02 
490 4.565062e+02 1.748488e+02 4.730527e-01 2.269474e-01 3.132727e-01 1.452246e-01 7.417621e-05 9.646259e-05 3.133469e-01 1.453211e-01 
500 4.620255e+02 2.493942e+02 4.071314e-01 3.216000e-01 3.151346e-01 2.046731e-01 4.701634e-05 5.598409e-05 3.151816e-01 2.047291e-01 
